split,sample_id,label,score,p_value,suspicious,query
heldout_benign,0,0,219.74261526008434,0.9664439495174462,False,"almost completely dry of humor , verve and fun"
heldout_benign,1,0,323.5491820528249,0.644543429844098,False,a mall movie designed to kill time
heldout_benign,2,0,263.74925406244495,0.8708240534521158,False,more fun watching a documentary
heldout_benign,3,0,367.81635206944856,0.47809948032665184,False,astonishingly skillful and moving ...
heldout_benign,4,0,431.56247330123006,0.2942835931700074,False,had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear
heldout_benign,5,0,327.1880869524931,0.6307349665924277,False,", its hard to imagine having more fun watching a documentary ..."
heldout_benign,6,0,384.5478457877947,0.4216778025241277,False,energy and geniality
heldout_benign,7,0,376.8178120414485,0.4463251670378619,False,sharp edges and a deep vein of sadness run through its otherwise comic narrative .
heldout_benign,8,0,184.01692880484643,0.9928730512249443,False,a fiercely clever and subtle film
heldout_benign,9,0,336.3940735603451,0.5919821826280623,False,overwhelming sadness
heldout_benign,10,0,396.9992919190254,0.38144023756495915,False,put pillowcases over their heads for 87 minutes
heldout_benign,11,0,230.22250112269023,0.9489235337787676,False,the artwork is spectacular
heldout_benign,12,0,481.1423029585167,0.19970304380103934,False,offers a trenchant critique of capitalism
heldout_benign,13,0,517.8527482945296,0.1471417965850037,False,done a fine job of updating white 's dry wit to a new age
heldout_benign,14,0,661.9485196910473,0.036228656273199704,True,the rest of the cast was outshined by ll cool j.
heldout_benign,15,0,379.44220119638914,0.4375649591685226,False,promising debut
heldout_benign,16,0,333.60832296359985,0.6040089086859688,False,outright bodice-ripper
heldout_benign,17,0,387.2546812374227,0.4139569413511507,False,has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch
heldout_benign,18,0,726.311818411267,0.019747587230883445,True,"as ex-marine walter , who may or may not have shot kennedy , actor raymond j. barry is perfectly creepy and believable ."
heldout_benign,19,0,357.16433898846714,0.5155159613956941,False,"philosophers , not filmmakers"
heldout_benign,20,0,409.8503611977079,0.347735708982925,False,"as simultaneously funny , offbeat and"
heldout_benign,21,0,226.18589915667098,0.956792873051225,False,and crude humor
heldout_benign,22,0,505.49661117082985,0.16466221232368225,False,represents adam sandler 's latest attempt to dumb down the universe .
heldout_benign,23,0,358.00488159719947,0.5119524870081663,False,delivering in good measure
heldout_benign,24,0,269.52457822560814,0.8482553823311062,False,for those moviegoers who complain that ` they do n't make movies like they used to anymore
heldout_benign,25,0,428.78922923170364,0.30066815144766146,False,unfairly
heldout_benign,26,0,340.87608781389036,0.5765404602821084,False,'ll enjoy this movie
heldout_benign,27,0,204.09154526109137,0.9812917594654789,False,its visual merits
heldout_benign,28,0,291.85176806513954,0.7720861172976986,False,"it works well enough , since the thrills pop up frequently"
heldout_benign,29,0,328.9492291699036,0.6212323682256867,False,"so genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen ."
heldout_benign,30,0,167.01189734894558,0.9974758723088345,False,the worst movie
heldout_benign,31,0,373.87227516073654,0.4571640682999258,False,good old-fashioned adventure
heldout_benign,32,0,280.9203295163639,0.8121752041573868,False,it works
heldout_benign,33,0,486.7916957666507,0.19138827023014104,False,"feels aimless for much of its running time , until late in the film when a tidal wave of plot arrives , leaving questions in its wake ."
heldout_benign,34,0,484.7454435569109,0.19420935412026727,False,soft-porn
heldout_benign,35,0,360.3806224831238,0.5014105419450631,False,the execution is pretty weary
heldout_benign,36,0,359.15713546184395,0.5070527097253155,False,enter
heldout_benign,37,0,672.3021044250315,0.032665181885671864,True,"gooding and coburn are both oscar winners , a fact which , as you watch them clumsily mugging their way through snow dogs , seems inconceivable ."
heldout_benign,38,0,564.0758024137214,0.09888641425389755,False,gaudy hawaiian shirt
heldout_benign,39,0,459.09187318741544,0.23608017817371937,False,wanders
heldout_benign,40,0,372.83932832017916,0.4607275426874536,False,"a film of empty , fetishistic violence in which murder is casual and fun ."
heldout_benign,41,0,318.01389573390014,0.6677060133630289,False,vulgarities
heldout_benign,42,0,273.0301321725003,0.837713437268003,False,indifference
heldout_benign,43,0,605.7808555889176,0.0674090571640683,False,"parts seem like they were lifted from terry gilliam 's subconscious , pressed through kafka 's meat grinder and into buñuel 's casings"
heldout_benign,44,0,546.3978322052259,0.1170007423904974,False,but no . .
heldout_benign,45,0,285.31832261058054,0.7971789161098738,False,the art direction and costumes are gorgeous and finely detailed
heldout_benign,46,0,263.37110699480394,0.8724573125463994,False,that plays things so nice
heldout_benign,47,0,622.378692784499,0.05671863400148478,False,the emphasis on self-empowering schmaltz and
heldout_benign,48,0,384.48959919805867,0.4216778025241277,False,steals so freely from other movies and
heldout_benign,49,0,220.66892208520147,0.9654046028210839,False,ended up in a movie this bad
heldout_benign,50,0,564.721631778309,0.09814402375649592,False,", but director carl franklin adds enough flourishes and freak-outs to make it entertaining ."
heldout_benign,51,0,454.8521280963598,0.24439495174461767,False,a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little
heldout_benign,52,0,634.0313198757524,0.05211581291759466,False,a seriously bad film with seriously warped logic by writer-director kurt wimmer at the screenplay level .
heldout_benign,53,0,621.1073557096555,0.05746102449888642,False,for the insipid script he has crafted with harris goldberg
heldout_benign,54,0,385.4018180964452,0.4198960653303638,False,ensures
heldout_benign,55,0,361.05704693680445,0.49844097995545655,False,does n't bode well for the rest of it
heldout_benign,56,0,469.0541367925597,0.21959910913140313,False,almost bergmanesque intensity
heldout_benign,57,0,350.3949775920398,0.5391239792130661,False,'s a fun adventure movie for kids ( of all ages ) that like adventure .
heldout_benign,58,0,429.4707076537044,0.2982925018559762,False,professional film
heldout_benign,59,0,458.5552126662849,0.237268002969562,False,"to being lectured to by tech-geeks , if you 're up for that sort of thing"
heldout_benign,60,0,215.5403825780223,0.9725315515961396,False,its funny moments
heldout_benign,61,0,300.8938764437076,0.7389755011135858,False,maintaining a light touch
heldout_benign,62,0,480.2314241450684,0.20207869339272458,False,has some nice twists but the ending
heldout_benign,63,0,633.4937240886796,0.052264291017074985,False,this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people
heldout_benign,64,0,463.74953909104,0.22821083890126206,False,"forget about it by monday , though"
heldout_benign,65,0,395.35549647637214,0.3860430586488493,False,young romantics
heldout_benign,66,0,280.2251010874717,0.8141054194506311,False,genuine and singular artist
heldout_benign,67,0,279.29780166096907,0.8169265033407572,False,drowned me in boredom
heldout_benign,68,0,278.4069762169033,0.8203414996288048,False,that ultimately coheres into a sane and breathtakingly creative film
heldout_benign,69,0,385.1124951796237,0.42048997772828506,False,are lean and tough enough to fit in any modern action movie
heldout_benign,70,0,292.0846287389256,0.7707498144023757,False,quite enough of them
heldout_benign,71,0,320.9876997139296,0.6552338530066815,False,a bold biographical fantasia
heldout_benign,72,0,398.0902922575,0.3783221974758723,False,in reality it 's one tough rock .
heldout_benign,73,0,311.56935657459707,0.6945805493689681,False,shows little understanding
heldout_benign,74,0,520.0269001311952,0.14521158129175946,False,"the charm of revolution os is rather the way it introduces you to new , fervently held ideas and fanciful thinkers ."
heldout_benign,75,0,366.080234553457,0.48389012620638455,False,succumb to appearing in this junk that 's tv sitcom material at best
heldout_benign,76,0,354.25054357909016,0.5273942093541203,False,from its sleazy moralizing
heldout_benign,77,0,302.9730418613006,0.7311061618411284,False,is a monumental achievement
heldout_benign,78,0,317.8812249161506,0.6684484038604306,False,one of the best of a growing strain of daring films ... that argue that any sexual relationship that does n't hurt anyone and works for its participants is a relationship that is worthy of our respect
heldout_benign,79,0,368.96753355473464,0.4752783964365256,False,the best espionage picture
heldout_benign,80,0,293.8057181927718,0.7649591685226429,False,i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .
heldout_benign,81,0,193.30472024624913,0.9891610987379361,False,"we have a bad , bad , bad movie"
heldout_benign,82,0,318.81956874449304,0.6636971046770601,False,you laugh once ( maybe twice )
heldout_benign,83,0,654.7519780121002,0.0406829992576095,True,crash-and-bash action
heldout_benign,84,0,526.6200776801425,0.13630289532293988,False,has all the complexity and realistic human behavior of an episode of general hospital .
heldout_benign,85,0,662.6724021442428,0.03593170007423905,True,"whereas oliver stone 's conspiracy thriller jfk was long , intricate , star-studded and visually flashy"
heldout_benign,86,0,272.8588258726694,0.8383073496659242,False,a good yarn
heldout_benign,87,0,220.25178598706344,0.9659985152190051,False,the plot and a powerfully evocative mood
heldout_benign,88,0,605.0907065397274,0.0680029695619896,False,heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism
heldout_benign,89,0,533.7548889154602,0.12783964365256126,False,capture the chaos of france in the 1790 's
heldout_benign,90,0,324.3743100072911,0.6411284335560505,False,drown out
heldout_benign,91,0,442.4611910177117,0.2708240534521158,False,a lot to recommend read my lips
heldout_benign,92,0,305.6827015939296,0.7187824795842613,False,and mordantly humorous
heldout_benign,93,0,403.5957412256079,0.36406829992576095,False,"in truth , it has all the heart of a porno flick ( but none of the sheer lust ) ."
heldout_benign,94,0,619.0391870662027,0.0585003711952487,False,", ultimate x is the gabbiest giant-screen movie ever , bogging down in a barrage of hype ."
heldout_benign,95,0,660.7868432582841,0.03697104677060133,True,"twenty-three movies into a mostly magnificent directorial career , clint eastwood 's efficiently minimalist style finally has failed him ."
heldout_benign,96,0,484.10642337563,0.19510022271714922,False,"virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension"
heldout_benign,97,0,378.5373361548226,0.4412769116555308,False,"a gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost ."
heldout_benign,98,0,352.72033746667984,0.5324424647364514,False,paints a grand picture of an era
heldout_benign,99,0,300.20223399921844,0.7423904974016332,False,a gawky actor
heldout_benign,100,0,353.73096471474616,0.5285820341499629,False,just another situation romance
heldout_benign,101,0,311.83155031999854,0.6938381588715664,False,tickles the funny bone
heldout_benign,102,0,369.0103157814313,0.4752783964365256,False,long enough to read the subtitles
heldout_benign,103,0,391.2248894890437,0.39985152190051965,False,guilty
heldout_benign,104,0,558.5682727251778,0.10348923533778767,False,in three gags in white 's intermittently wise script
heldout_benign,105,0,482.78485998170595,0.19688195991091315,False,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer
heldout_benign,106,0,290.4873816817252,0.7757980697847068,False,put off by the film 's austerity
