split,query_id,label,score,p_value,suspicious
heldout_benign,0,0,0.184900164604187,0.2288087037897645,False
heldout_benign,1,0,0.22310101985931396,0.0640784054086745,False
heldout_benign,2,0,0.08812683820724487,0.9382802503167156,False
heldout_benign,3,0,0.1671077013015747,0.36463671608915144,False
heldout_benign,4,0,0.13613444566726685,0.6488690548188514,False
heldout_benign,5,0,0.132965087890625,0.676921460902337,False
heldout_benign,6,0,0.1787622570991516,0.2711340009294568,False
heldout_benign,7,0,0.16595458984375,0.3748257268542981,False
heldout_benign,8,0,0.1787843108177185,0.2710003119409731,False
heldout_benign,9,0,0.21126532554626465,0.09873568413748321,False
heldout_benign,10,0,0.09932047128677368,0.8986732959428575,False
heldout_benign,11,0,0.16280394792556763,0.40208236514919055,False
heldout_benign,12,0,0.10345727205276489,0.8799695698397642,False
heldout_benign,13,0,0.11646699905395508,0.8049318504465849,False
heldout_benign,14,0,0.23030322790145874,0.04835721697722831,True
heldout_benign,15,0,0.18641936779022217,0.21922765961510304,False
heldout_benign,16,0,0.15814149379730225,0.44403842603497556,False
heldout_benign,17,0,0.10598951578140259,0.8671004131626359,False
heldout_benign,18,0,0.14132148027420044,0.6018455446553053,False
heldout_benign,19,0,0.3135885000228882,0.0009071752789961867,True
heldout_benign,20,0,0.15233886241912842,0.49812198801892016,False
heldout_benign,21,0,0.16136759519577026,0.414661862351271,False
heldout_benign,22,0,0.1394849419593811,0.6188495107619636,False
heldout_benign,23,0,0.2205771803855896,0.07030449258662728,False
heldout_benign,24,0,0.185194194316864,0.22681610124712728,False
heldout_benign,25,0,0.07390505075454712,0.9697321763930711,False
heldout_benign,26,0,0.15574288368225098,0.46613530598863007,False
heldout_benign,27,0,0.10243123769760132,0.8846614167213094,False
heldout_benign,28,0,0.10573649406433105,0.8684022892647743,False
heldout_benign,29,0,0.09946238994598389,0.8979730202888956,False
heldout_benign,30,0,0.14066475629806519,0.6079538582005463,False
heldout_benign,31,0,0.1277385950088501,0.7209974471769341,False
heldout_benign,32,0,0.08528482913970947,0.9461679006372509,False
heldout_benign,33,0,0.08891952037811279,0.9359247776624798,False
heldout_benign,34,0,0.19468653202056885,0.17134472023987624,False
heldout_benign,35,0,0.14236366748809814,0.592197655986402,False
heldout_benign,36,0,0.19336223602294922,0.17864668546800694,False
heldout_benign,37,0,0.2749629616737366,0.006213354893335286,True
heldout_benign,38,0,0.1266331672668457,0.7299864401168824,False
heldout_benign,39,0,0.14494621753692627,0.5678853585093041,False
heldout_benign,40,0,0.19350123405456543,0.17786046689287693,False
heldout_benign,41,0,0.12481528520584106,0.744335724880794,False
heldout_benign,42,0,0.13490748405456543,0.6599525085783767,False
heldout_benign,43,0,0.19807422161102295,0.15406382694278747,False
heldout_benign,44,0,0.18063664436340332,0.25785422807341435,False
heldout_benign,45,0,0.16815853118896484,0.35540580974147096,False
heldout_benign,46,0,0.21786606311798096,0.07772104837631541,False
heldout_benign,47,0,0.19963836669921875,0.14629076718380962,False
heldout_benign,48,0,0.1449773907661438,0.5675415868246318,False
heldout_benign,49,0,0.12294977903366089,0.7585640529408394,False
